English Translation,Standard Bangla Lanuguage,Romanized Bangla,Chittagong Language,Romanized Chittagong Language,Sylhet Language,Romanized Sylhet Language
Take a photo,ছবি তুলতে হবে,Chobi tulte hobe,ছবি তুলা ফরিবো ,Sobi tula foribo,ছবি তুলা লাগবো,Sobi tula lagbo
Need to take,তুলতে হবে,Tulte hobe,তুলা ফরিবো,Tula foribo,তুলা লাগবো,Tula lagbo
We need to take a colored photo,আমাদের একটা রঙ্গিন ছবি তুলতে হবে,Amader ekta rongin chobi tulte hobe,একখন কালার ছবি তুলা ফরিবো আরার ,Ekkhon color sobi tula foribo arar,আমরার এখটা রঙ্গিন ছবি তুলা লাগবো,Amrar ekhta rongin sobi tula lagbo
We need to take a colored photo,আমাদের রঙ্গিন ছবি তুলতে হবে,Amader rongin chobi tulte hobe,কালার ছবি তুলা ফরিবো আরার,Color sobi tula foribo arar,আমরার রঙ্গিন ছবি তুলা লাগবো,Amrar rongin sobi tula lagbo
We need to take a photo,আমাদের ছবি তুলতে হবে,Amader chobi tulte hobe,ছবি তুলা ফরিবো আরার,Sobi tula foribo arar,আমরারছবি তুলা লাগবো,Amrar sobi tula lagbo
We need to take,আমাদের তুলতে হবে,Amader tulte hobe,এতুলা ফরিবো আরার,Etula foribo arar,আমরার তুলা লাগবো,Amrar tula lagbo
How long will we keep taking vacations?,আর কত ছুটি কাটাবো?,Aar koto chuti katabo?,আর হদিন ছুটি হাডাইয়ুম?,Ar hodin suti hadaiyum?,আর কত ছুটি কাটাইতাম?,Ar koto suti kataitam?
How many vacations will we take?,কত ছুটি কাটাবো?,Koto chuti katabo?,হদিন ছুটি হাডাইয়ুম?,Hodin suti hadaiyum?,কত ছুটি কাটাইতাম?,Koto suti kataitam?
Take a vacation?,ছুটি কাটাবো?,Chuti katabo?,ছুটি হাডাইয়ুম?,Suti hadaiyum?,ছুটি কাটাইতাম?,Suti kataitam?
Are you alive?,আপনি বেঁচে আছেন?,Apni beche achen?,অনে বাঁচি আছন নি?,One bachi ason ni?,আফনে বাঁইচ্চা আছইন নি?,Afne baissa asoin ni?
Alive?,বেঁচে আছেন?,Beche achen?,বাঁচি আছন নি?,Bachi ason ni?,বাঁইচ্চা আছইন নি?,Baissa asoin ni?
Are you there?,আপনি আছেন?,Apni achen?,অনে আছন নি?,One ason ni?,আফনে আছইন নি?,Afne asoin ni?
Can we meet?,দেখা করা যাবে,Dekha kora jabe,দেহা গরা যাইবো,Deha gora zaibo,দেখা খরা যাইব,Dekha kora zaibo
Can be done,করা যাবে,Kora jabe,গরা যাইবো,Gora zaibo,খরা যাইব,Kora zaibo
Can be seen,দেখা যাবে,Dekha jabe,দেহা যাইবো,Deha zaibo,দেখা যাইব,Dekha zaibo
I want to talk about my family,আমি আমার পরিবারের কথা বলতে চাই,Ami amar poribarer kotha bolte chai,আই আর ফরিবারোর হতা হইত চাই,Ai ar foribaror hota hoito sai,মুই মোর পরিবারের খতা কইতাম চাই,Mui mor poribarer kota koitam sai
I want to talk about my family,আমার পরিবারের কথা বলতে চাই,Amar poribarer kotha bolte chai,আর ফরিবারোর হতা হইত চাই,Ar foribaror hota hoito sai,মোর পরিবারের খতা কইতাম চাই,Mor poribarer kota koitam sai
Want to talk about family,পরিবারের কথা বলতে চাই,Poribarer kotha bolte chai,ফরিবারোর হতা হইত চাই,Foribaror hota hoito sai,পরিবারের খতা কইতাম চাই,Poribarer kota koitam sai
Want to talk,কথা বলতে চাই,Kotha bolte chai,হতা হইত চাই,Hota hoito sai,খতা কইতাম চাই,Kota koitam sai
I want to talk about family,আমি পরিবারের কথা বলতে চাই,Ami poribarer kotha bolte chai,আই ফরিবারোর হতা হইত চাই,Ai foribaror hota hoito sai,মুই পরিবারের খতা কইতাম চাই,Mui poribarer kota koitam sai
"In my family, there’s me, mom, dad, and a younger sister","আমার পরিবারে আমি, মা, বাবা এবং একটি ছোট বোন","Amar poribare ami, ma, baba ebong ekti choto bon","আর ফরিবারে আই, মা, বাবা আর অগগা গুরা বইন","Ar foribare ai, ma, baba ar ogga gura boin","মোর পরিবারও মুই, আম্মা, আব্বা আর এখ হুরু বইন","Mor poribar-o mui, amma, abba ar ek huru boin"
"In my family, there’s me, mom, and dad","আমার পরিবারে আমি, মা, বাবা ","Amar poribare ami, ma, baba","আর ফরিবারে আই, মা, বাবা","Ar foribare ai, ma, baba","মোর পরিবারও মুই, আম্মা, আব্বা ","Mor poribar-o mui, amma, abba"
"In my family, it’s me",আমার পরিবারে আমি,Amar poribare ami,আর ফরিবারে আই,Ar foribare ai,মোর পরিবারও মুই,Mor poribar-o mui
"In my family, it’s me, mom, dad, and younger sister","আমার পরিবারে আমি, মা, বাবা এবং ছোট বোন","Amar poribare ami, ma, baba ebong choto bon","আর ফরিবারে আই, মা, বাবা আর গুরা বইন","Ar foribare ai, ma, baba ar gura boin","মোর পরিবারও মুই, আম্মা, আব্বা আর হুরু বইন","Mor poribar-o mui, amma, abba ar huru boin"
"In my family, it’s me, mom, dad, and sister","আমার পরিবারে আমি, মা, বাবা এবং বোন","Amar poribare ami, ma, baba ebong bon","আর ফরিবারে আই, মা, বাবা আর বইন","Ar foribare ai, ma, baba ar boin","মোর পরিবারও মুই, আম্মা, আব্বা আর বইন","Mor poribar-o mui, amma, abba ar boin"
A little sister,একটি ছোট বোন,Ekti choto bon,অগগা গুরা বইন,Ogga gura boin,এখ হুরু বইন,Ek huru boin
We are all together at one time,আমাদের সবাই একসময়ে একসাথে আছি,Amader shobai eksomoye eksathe achi,আরার বেকগুন একসময় এক্কফোয়ারে আছি,Arar beggun eksomoy ekkoware asi,আমরার হখল এখ সময়ে এখলগে আছি,Amrar hokol ek shomoye ekloge asi
All are together at one time,সবাই একসময়ে একসাথে আছি,Shobai eksomoye eksathe achi,বেকগুন একসময় এক্কফোয়ারে আছি,Beggun eksomoy ekkoware asi,হখল এখ সময়ে এখলগে আছি,Hokol ek shomoye ekloge asi
Together at one time,একসময়ে একসাথে আছি,Eksomoye eksathe achi,একসময় এক্কফোয়ারে আছি,Eksomoy ekkoware asi,এখ সময়ে এখলগে আছি,Ek shomoye ekloge asi
We are together,একসাথে আছি,Eksathe achi,এক্কফোয়ারে আছি,Ekkoware asi,এখলগে আছি,Ekloge asi
We are all together,আমাদের সবাই একসাথে আছি,Amader shobai eksathe achi,আরার বেকগুন এক্কফোয়ারে আছি,Arar beggun ekkoware asi,আমরার হখল এখলগে আছি,Amrar hokol ekloge asi
Don’t say another word,একটা কথাও আর বলবা না,Ekta kothao aar bolba na,আর এককান হতাও ন হইবা,Ar ekkan hotao no hoiba,এখটা মাতও আর মাতাবায় না,Ekta mat-o ar matabay na
Don’t say a word,কথাও আর বলবা না,Kothao aar bolba na,এককান হতাও ন হইবা,Ekkan hotao no hoiba,মাতও আর মাতাবায় না,Mat-o ar matabay na
Don’t say anything,আর বলবা না,Aar bolba na,হতাও ন হইবা,Hotao no hoiba,আর মাতাবায় না,Ar matabay na
Don’t say,বলবা না,Bolba na,ন হইবা,No hoiba,মাতাবায় না,Matabay na
Don’t say a single word,একটা কথাও বলবা না,Ekta kothao bolba na,এককান হতাও ন হইবা,Ekkan hotao no hoiba,এখটা মাতও মাতাবায় না,Ekta mat-o matabay na
Those who don’t know me yet,আপনা যারা আমাকে এখনো চিনেন না,Apnara jara amake ekhono chinen na,অনরা যারা আরে এইযো ন চিনন,Onra zara are eizo no sinon,আফনারা যারা মোরে এখনো চিনিন না,Afnara zara more ekhono sinin na
Who don’t know me yet,যারা আমাকে এখনো চিনেন না,Jara amake ekhono chinen na,যারা আরে এইযো ন চিনন,Zara are eizo no sinon,যারা মোরে এখনো চিনিন না,Zara more ekhono sinin na
Don’t know me yet,আমাকে এখনো চিনেন না,Amake ekhono chinen na,আরে এইযো ন চিনন,Are eizo no sinon,মোরে এখনো চিনিন না,More ekhono sinin na
Don’t know yet, এখনো চিনেন না,Ekhono chinen na, এইযো ন চিনন,Eizo no sinon,এখনো চিনিন না,Ekhono sinin na
Don’t know,চিনেন না,Chinen na,ন চিনন,No sinon,চিনিন না,Sinin na
You don’t know me yet,আপনা আমাকে এখনো চিনেন না,Apnara amake ekhono chinen na,অনরা  আরে এইযো ন চিনন,Onra are eizo no sinon,আফনারা মোরে এখনো চিনিন না,Afnara more ekhono sinin na
You don’t know yet,আপনা এখনো চিনেন না,Apnara ekhono chinen na,অনরা  এইযো ন চিনন,Onra eizo no sinon,আফনারা এখনো চিনিন না,Afnara ekhono sinin na
You don’t know,আপনা চিনেন না,Apnara chinen na,অনরা ন চিনন,Onra no sinon,আফনারা চিনিন না,Afnara sinin na
"Lying on the bed, I was watching TV",বিছানায় শুয়ে টিভি দেখছিলাম,Bichanay shuye TV dekhchilam,চিছানাত লুডি টিভি দেইক্কিলাম,Sisanat ludi TV deikkilam,বিছানায় হুতি টিভি দেখাত আছিলাম,Bisanay huti TV dekhat asilam
"Lying down, I was watching TV",শুয়ে টিভি দেখছিলাম,Shuye TV dekhchilam,লুডি টিভি দেইক্কিলাম,Ludi TV deikkilam,হুতি টিভি দেখাত আছিলাম,Huti TV dekhat asilam
I was watching TV,টিভি দেখছিলাম,TV dekhchilam,টিভি দেইক্কিলাম,TV deikkilam,টিভি দেখাত আছিলাম,TV dekhat asilam
Watching TV on the bed,বিছানায় টিভি দেখছিলাম,Bichanay TV dekhchilam,চিছানাত টিভি দেইক্কিলাম,Sisanat TV deikkilam,বিছানায় টিভি দেখাত আছিলাম,Bisanay TV dekhat asilam
Let’s fly a kite,চলো ঘুড়ি উড়াই,Cholo ghuri urai,আহো গুন্ডি উড়াই,Aho guddi urai,চলো তে ঘুড্ডি উড়াই,Solo te guddi urai
Fly a kite,ঘুড়ি উড়াই,Ghuri urai,গুন্ডি উড়াই,Guddi urai,তে ঘুড্ডি উড়াই,Te guddi urai
Let’s fly,চলো উড়াই,Cholo urai,আহো উড়াই,Aho urai,চলো তে উড়াই,Solo te urai
I was very talented in my childhood,আমি ছোটবেলায় অনেক মেধাবী ছিলাম,Ami chotobelay onek medhabi chilam,আই গুড়া তাকিতে বহুত মেধাবী আছিলাম,Ai gura takite bohut medhabi asilam,আমি ছোটকাল তোনেও মেধাবী আছিলাম,Ami sotokal tone-o medhabi asilam
Was very talented in childhood,ছোটবেলায় অনেক মেধাবী ছিলাম,Chotobelay onek medhabi chilam,গুড়া তাকিতে বহুত মেধাবী আছিলাম,Gura takite bohut medhabi asilam,ছোটকাল তোনেও মেধাবী আছিলাম,Sotokal tone-o medhabi asilam
Was very talented,অনেক মেধাবী ছিলাম,Onek medhabi chilam,বহুত মেধাবী আছিলাম,Bohut medhabi asilam,তোনেও মেধাবী আছিলাম,Tone-o medhabi asilam
Was talented,মেধাবী ছিলাম,Medhabi chilam,মেধাবী আছিলাম,Medhabi asilam,মেধাবী আছিলাম,Medhabi asilam
I was very talented,আমি অনেক মেধাবী ছিলাম,Ami onek medhabi chilam,আই বহুত মেধাবী আছিলাম,Ai bohut medhabi asilam,আমি  তোনেও মেধাবী আছিলাম,Ami tone-o medhabi asilam
I was talented,আমি মেধাবী ছিলাম,Ami medhabi chilam,আই মেধাবী আছিলাম,Ai medhabi asilam,আমি মেধাবী আছিলাম,Ami medhabi asilam
I really enjoy boating,আমার নৌকায় ঘুরতে অনেক ভালো লাগে,Amar noukay ghurte onek bhalo lage,আর নৌকাত ঘুড়িত বহুত বালা লাগে,Ar noukat gurit bohut bala lage,আমার নৌকা দিয়ে ঘুরতে যে ভালা লাগে,Amar nouka diye gurte ze bala lage
Enjoy boating a lot,নৌকায় ঘুরতে অনেক ভালো লাগে,Noukay ghurte onek bhalo lage,নৌকাত ঘুড়িত বহুত বালা লাগে,Noukat gurit bohut bala lage,নৌকা দিয়ে ঘুরতে যে ভালা লাগে,Nouka diye gurte ze bala lage
Enjoy traveling a lot,ঘুরতে অনেক ভালো লাগে,Ghurte onek bhalo lage,ঘুড়িত বহুত বালা লাগে,Gurit bohut bala lage,ঘুরতে যে ভালা লাগে,Gurte ze bala lage
Enjoy a lot,অনেক ভালো লাগে,Onek bhalo lage,বহুত বালা লাগে,Bohut bala lage,যে ভালা লাগে,Ze bala lage
Like it,আভালো লাগে,Bhalo lage,বালা লাগে,Bala lage,ভালা লাগে,Bala lage
I enjoy traveling a lot,আমার ঘুরতে অনেক ভালো লাগে,Amar ghurte onek bhalo lage,আর  ঘুড়িত বহুত বালা লাগে,Ar gurit bohut bala lage,আমার  ঘুরতে যে ভালা লাগে,Amar gurte ze bala lage
I like it a lot,আমার অনেক ভালো লাগে,Amar onek bhalo lage,আর বহুত বালা লাগে,Ar bohut bala lage,আমার যে ভালা লাগে,Amar ze bala lage
I like it,আমার ভালো লাগে,Amar bhalo lage,আর বালা লাগে,Ar bala lage,আমার ভালা লাগে,Amar bala lage
The fishermen are catching fish,জেলেরা মাছ ধরছে,Jelera mach dhorche,জাইল্যা অকল মাছ ধরে,Zaillya okol mas dhore,জেলে হখলতে মাছ মারছে,Zele hokol-te mas marse
Catching fish,মাছ ধরছে,Mach dhorche,অকল মাছ ধরে,Okol mas dhore,হখলতে মাছ মারছে,Hokol-te mas marse
The fishermen are catching,জেলেরা ধরছে,Jelera dhorche,জাইল্যা মাছ ধরে,Zaillya mas dhore,জেলে হখলতে মারছে,Zele hokol-te marse
I will eat mango,আমি আম খাবো,Ami aam khabo,আই আম হাইয়ুম,Ai aam haiyum,আমি আম খাইতাম,Ami aam khaitam
Eat mango,আম খাবো,Aam khabo,আম হাইয়ুম,Aam haiyum,আম খাইতাম,Aam khaitam
I will eat,আমি খাবো,Ami khabo,আই হাইয়ুম,Ai haiyum,আমি খাইতাম,Ami khaitam
Mango is my favorite fruit,আম আমার প্রিয় ফল,Aam amar priyo phol,আম আর ফ্রিয় ফল,Aam ar priyo fol,আম ফলটা আমার সব থাকি বেশি ভালা লাগে,Aam fol-ta amar shob taki beshi bala lage
My favorite fruit,আমার প্রিয় ফল,Amar priyo phol,আর ফ্রিয় ফল,Ar priyo fol,আমার সব থাকি বেশি ভালা লাগে,Amar shob taki beshi bala lage
Favorite fruit,প্রিয় ফল,Priyo phol,ফ্রিয় ফল,Priyo fol,সব থাকি বেশি ভালা লাগে,Shob taki beshi bala lage
Mango is favorite fruit,আম প্রিয় ফল,Aam priyo phol,আম ফ্রিয় ফল,Aam priyo fol,আম ফলটা সব থাকি বেশি ভালা লাগে,Aam fol-ta shob taki beshi bala lage
Today I saw your brother,আজকে তোমার ভাইকে দেখলাম,Ajke tomar bhai ke dekhlam,আজিয়া তুয়ার ভাইর দেইকখি,Azia tuar bair deikkhi,আইজ তুমাইতান ওর ভাইরে দেখলাম,Aiz tumitan or bhai-re dekhlam
Saw your brother,তোমার ভাইকে দেখলাম,Tomar bhai ke dekhlam,তুয়ার ভাইর দেইকখি,Tuar bair deikkhi,তুমাইতান ওর ভাইরে দেখলাম,Tumitan or bhai-re dekhlam
Saw brother,ভাইকে দেখলাম,Bhai ke dekhlam,ভাইর দেইকখি,Bair deikkhi,ভাইরে দেখলাম,Bhai-re dekhlam
Saw brother today,আজকে ভাইকে দেখলাম,Ajke bhai ke dekhlam,আজিয়া ভাইর দেইকখি,Azia bair deikkhi,আইজ ভাইরে দেখলাম,Aiz bhai-re dekhlam
Your singing voice is very good,তোমার গানের গলা অনেক ভালো,Tomar gaaner gola onek bhalo,তুয়ার গানর গলা বহুত বালা,Tuar gaanor gola bohut bala,তুমাইতাইন ওর গান ওর গলা খুব ভালা,Tumitain or gaan or gola khub bala
Singing voice is very good,গানের গলা অনেক ভালো,Gaaner gola onek bhalo,গানর গলা বহুত বালা,Gaanor gola bohut bala,গান ওর গলা খুব ভালা,Gaan or gola khub bala
Voice is very good,গলা অনেক ভালো,Gola onek bhalo,গলা বহুত বালা,Gola bohut bala,গলা খুব ভালা,Gola khub bala
Very good,অনেক ভালো,Onek bhalo,বহুত বালা,Bohut bala,খুব ভালা,Khub bala
Your voice is very good,তোমার গলা অনেক ভালো,Tomar gola onek bhalo,তুয়ার গলা বহুত বালা,Tuar gola bohut bala,তুমাইতাইন গলা খুব ভালা,Tumitain gola khub bala
I have fallen in love with your smile,আমি তোমার হাসির প্রেমে পরেছি,Ami tomar hashir preme porechi,আই তুয়ার হাসির ফ্রেমত ফরিগি,Ai tuar hasir fremot forigi,তুমাইতাইন ওর হাসির প্রমো পরি গেছি আমি,Tumitain or hashir premo-t pori gesi ami
Who is in your family?,তোমার পরিবারে কে কে আছে?,Tomar poribare ke ke ache?,তুয়ার ফরিবারত হোন হোন আছে?,Tuar foribarot hon hon ase?,তুমাইতাইন ওর বাসাত কে কে আছোইন?,Tumitain or bashat ke ke asoin?
Who is in the family?,পরিবারে কে কে আছে?,Poribare ke ke ache?,ফরিবারত হোন হোন আছে?,Foribarot hon hon ase?,বাসাত কে কে আছোইন?,Bashat ke ke asoin?
Who all are there?,কে কে আছে?,Ke ke ache?,হোন হোন আছে?,Hon hon ase?,কে কে আছোইন?,Ke ke asoin?
Who is there?,কে আছে?,Ke ache?,হোন আছে?,Hon ase?,কে আছোইন?,Ke asoin?
How do you like cricket?,ক্রিকেট খেলা তমার কেমন লাগে?,Cricket khela tomar kemon lage?,ক্রিকেট খেলা তুয়ারতুন কেন লাগে?,Cricket khela tuartun ken lage?,তুমাইতাইন ওর ক্রিকেট খেলা কিলা লাগে?,Tumitain or cricket khela kila lage?
How do you like playing?,খেলা তমার কেমন লাগে?,Khela tomar kemon lage?,খেলা তুয়ারতুন কেন লাগে?,Khela tuartun ken lage?,তুমাইতাইন ওর খেলা কিলা লাগে?,Tumitain or khela kila lage?
How do you like it?,তমার কেমন লাগে?,Tomar kemon lage?,তুয়ারতুন কেন লাগে?,Tuartun ken lage?,তুমাইতাইন ওর কিলা লাগে?,Tumitain or kila lage?
Like it?,কেমন লাগে?,Kemon lage?,ক্কেন লাগে?,Ken lage?,কিলা লাগে?,Kila lage?
How do you like cricket?,ক্রিকেট তমার কেমন লাগে?,Cricket tomar kemon lage?,ক্রিকেট তুয়ারতুন কেন লাগে?,Cricket tuartun ken lage?,তুমাইতাইন ওর ক্রিকেট কিলা লাগে?,Tumitain or cricket kila lage?
How is cricket?,ক্রিকেট কেমন লাগে?,Cricket kemon lage?,ক্রিকেট কেন লাগে?,Cricket ken lage?,তুমাইতাইন ওর কিলা লাগে?,Tumitain or kila lage?
I don’t like it at all,আমার একদমই ভালো লাগে না,Amar ekdomi bhalo lage na,আর এফফোডাও গম ন লাই,Ar efodao gom no lage,আমার একবারেও ভালা লাগে না,Amar ekbare-o bala lage na
I like it a lot,আমার অনেক ভালো লাগে,Amar onek bhalo lage,আর বহুত বালা লাগে,Ar bohut bala lage,আমার খুব ভালা লাগে,Amar khub bala lage
What does your father do?,তোমার বাবা কি করেন?,Tomar baba ki koren?,তুয়ার আব্বা কি গরে?,Tuar abba ki gore?,তুমাইতাইন ওর বাবা কিতা করইন?,Tumitain or baba kita koroin?
What does father do?,বাবা কি করেন?,Baba ki koren?,আব্বা কি গরে?,Abba ki gore?,বাবা কিতা করইন?,Baba kita koroin?
What does he do?,কি করেন?,Ki koren?,কি গরে?,Ki gore?,কিতা করইন?,Kita koroin?
Where does your brother work?,তোমার ভাই কোথায় চাকরি করেন?,Tomar bhai kothay chakri koren?,তুয়ার বাই চকরি হদে গরে?,Tuar bai sokri hode gore?,তুমাইতাইন ওর ভাই কিতাত চাকরি করইন?,Tumitain or bhai kitat sakri koroin?
Where does brother work?,ভাই কোথায় চাকরি করেন?,Bhai kothay chakri koren?,বাই চকরি হদে গরে?,Bai sokri hode gore?,ভাই কিতাত চাকরি করইন?,Bhai kitat sakri koroin?
Where does he work?,কোথায় চাকরি করেন?,Kothay chakri koren?,চকরি হদে গরে?,Sokri hode gore?,কিতাত চাকরি করইন?,Kitat sakri koroin?
Works?,চাকরি করেন?,Chakri koren?,হদে গরে?,Hode gore?,চাকরি করইন?,Sakri koroin?
I like chicken meat the most,আমি মুরগির মাংস বেশি পছন্দ করি,Ami murgir mangsho beshi pochondo kori,আই কুড়ার গোস্ত বেশ পছন্দ গরি,Ai kurar gosto besh posondo gori,আমার মরগ ওর মাংস বেশি ভালা লাগে,Amar morog or mangsho beshi bala lage
Like chicken meat the most,মুরগির মাংস বেশি পছন্দ করি,Murgir mangsho beshi pochondo kori,কুড়ার গোস্ত বেশ পছন্দ গরি,Kurar gosto besh posondo gori,মরগ ওর মাংস বেশি ভালা লাগে,Morog or mangsho beshi bala lage
Like meat the most,মাংস বেশি পছন্দ করি,Mangsho beshi pochondo kori,গোস্ত বেশ পছন্দ গরি,Gosto besh posondo gori,মাংস বেশি ভালা লাগে,Mangsho beshi bala lage
Like the most,বেশি পছন্দ করি,Beshi pochondo kori,বেশ পছন্দ গরি,Besh posondo gori,বেশি ভালা লাগে,Beshi bala lage
Like it,পছন্দ করি,Pochondo kori,পছন্দ গরি,Posondo gori,ভালা লাগে,Bala lage
I like meat the most,আমি মাংস বেশি পছন্দ করি,Ami mangsho beshi pochondo kori,আই গোস্ত বেশ পছন্দ গরি,Ai gosto besh posondo gori,আমার মাংস বেশি ভালা লাগে,Amar mangsho beshi bala lage
What do you like to eat?,তুমি কি খেতে পছন্দ করো?,Tumi ki khete pochondo koro?,তুই কি হাইতো পছন্দ গরো,Tui ki haito posondo goro,তুমাইতাইন কিতা খাইতে ভালা ফাও,Tumitain kita khaite bala fao?
What do you like to eat?,কি খেতে পছন্দ করো?,Ki khete pochondo koro?,কি হাইতো পছন্দ গরো,Ki haito posondo goro,কিতা খাইতে ভালা ফাও,Kita khaite bala fao?
Like to eat?,খেতে পছন্দ করো?,Khete pochondo koro?,হাইতো পছন্দ গরো,Haito posondo goro,খাইতে ভালা ফাও,Khaite bala fao
I like to eat shrimp,আমি চিংড়ি মাছ খেতে পছন্দ করি,Ami chingri mach khete pochondo kori,আই ইচা মাছ হাইতো পছন্দ গরি,Ai icha mas haito posondo gori,আমার ইচা মাছ খাইতে বেশি ভালা লাগে,Amar isa mas khaite beshi bala lage
Like to eat shrimp,চিংড়ি মাছ খেতে পছন্দ করি,Chingri mach khete pochondo kori,ইচা মাছ হাইতো পছন্দ গরি,Icha mas haito posondo gori,ইচা মাছ খাইতে বেশি ভালা লাগে,Isa mas khaite beshi bala lage
Like to eat fish,মাছ খেতে পছন্দ করি,Mach khete pochondo kori,মাছ হাইতো পছন্দ গরি,Mas haito posondo gori,মাছ খাইতে বেশি ভালা লাগে,Mas khaite beshi bala lage
Like to eat,খেতে পছন্দ করি,Khete pochondo kori,হাইতো পছন্দ গরি,Haito posondo gori,খাইতে বেশি ভালা লাগে,Khaite beshi bala lage
What are you doing now?,কি করছেন আপনি এখন?,Ki korchen apni ekhon?,কি গরন যে অনে এহন?,Ki goron ze one ehon?,কিতা করার আফনে ওখন?,Kita korar afne okhon?
What are you doing?,কি করছেন আপনি,Ki korchen apni,কি গরন যে অনে,Ki goron ze one,কিতা করার আফনে ,Kita korar afne?
Doing now?,কি করছেন এখন?,Ki korchen ekhon?,কি গরন যে এহন?,Ki goron ze ehon?,কিতা করার ওখন?,Kita korar okhon?
I am reading a book,আমি একটি বই পড়ছি,Ami ekti boi porchi,আই এগগা বই ফরি,Ai egga boi fori,আমি এগু বই পড়ছি,Ami egu boi porsi
Reading a book,একটি বই পড়ছি,Ekti boi porchi,এগগা বই ফরি,Egg a boi fori,এগু বই পড়ছি,Egu boi porsi
Reading book,বই পড়ছি,Boi porchi,বই ফরি,Boi fori,বই পড়ছি,Boi porsi
I am reading a book,আমি বই পড়ছি,Ami boi porchi,আই বই ফরি,Ai boi fori,আমি বই পড়ছি,Ami boi porsi
Have you read other books?,আপনি কি অন্যান্য বই পড়েছেন?,Apni ki onnanno boi porechen?,আনে কি অন্যান্য বই ফরন নে?,Ane ki oinanno boi foron ne?,আফনে কিতা অন্যান্য বই পড়ছইন নি?,Afne kita onyanyo boi porsoin ni?
Read other books?,অন্যান্য বই পড়েছেন?,Onnanno boi porechen?,অন্যান্য বই ফরন নে?,Oinanno boi foron ne?,অন্যান্য বই পড়ছইন নি?,Onyanyo boi porsoin ni?
Read books?,বই পড়েছেন?,Boi porechen?,বই ফরন নে?,Boi foron ne?,বই পড়ছইন নি?,Boi porsoin ni?
Do you work in a government job?,তুমি কি সরকারি চাকরি করছ?,Tumi ki shorkari chakri korcho?,তুই কি সরকারি চকরি গরর দে নে?,Tui ki sorkari sokri goror de ne?,তুমাইতাইন কিতা সরকারি চাকরি করছ নই?,Tumitain kita shorkari sakri korso ni?
Working in a government job?,সরকারি চাকরি করছ?,Shorkari chakri korcho?,সরকারি চকরি গরর দে নে?,Sorkari sokri goror de ne?,সরকারি চাকরি করছ নই?,Shorkari sakri korso ni?
Working?,চাকরি করছ?,Chakri korcho?,চকরি গরর দে নে?,Sokri goror de ne?,চাকরি করছ নই?,Sakri korso ni?
Are you doing a government job?,তুমি সরকারি চাকরি করছ?,Tumi shorkari chakri korcho?,তুই সরকারি চকরি গরর দে নে?,Tui sorkari sokri goror de ne?,তুমাইতাইন সরকারি চাকরি করছ নই?,Tumitain shorkari sakri korso ni?
Are you working?,তুমি চাকরি করছ?,Tumi chakri korcho?,তুই চকরি গরর দে নে?,Tui sokri goror de ne?,তুমাইতাইন চাকরি করছ নই?,Tumitain sakri korso ni?
I am a government officer.,আমি একজন সরকারি কর্মকর্তা,Ami ekjon shorkari kormokorta,আই একজন সরকারি কর্মকর্তা,Ai ekjon sorkari kormokorta,আমি একজন সরকারি কর্মকর্তা,Ami ekjon shorkari kormokorta
I am a government officer.,আমি সরকারি কর্মকর্তা,Ami shorkari kormokorta,আই সরকারি কর্মকর্তা,Ai sorkari kormokorta,আমি সরকারি কর্মকর্তা,Ami shorkari kormokorta
Are you working?,তুমি কি চাকরি করছ?,Tumi ki chakri korcho?,তুই কি চকরি গরর দে নে,Tui ki sokri goror de ne,তুমাইতাইন কিতা চাকরি করছ নি?,Tumaitain kita sakri korso ni?
What job are you doing?,কি চাকরি করছ?,Ki chakri korcho?,কি চকরি গরর দে নে,Ki sokri goror de ne,কিতা চাকরি করছ নি?,Kita sakri korso ni?
Why do I always suffer?,আমি কেনো সবসময় কষ্ট পাই?,Ami keno shobshomoy koshto pai?,আই ক্যা এগা যা হষ্ট ফাই?,Ai ka ega za hoshto fai?,আমি ও হকল সময় কষ্ট পাই কিওর লাগি?,Ami o hokol shomoy koshto fai kior lagi?
Why do I always suffer?,কেনো সবসময় কষ্ট পাই?,Keno shobshomoy koshto pai?,ক্যা এগা যা হষ্ট ফাই?,Ka ega za hoshto fai?,হকল সময় কষ্ট পাই কিওর লাগি?,Hokol shomoy koshto fai kior lagi?
Do I always suffer?,সবসময় কষ্ট পাই?,Shobshomoy koshto pai?,এগা যা হষ্ট ফাই?,Ega za hoshto fai?,সময় কষ্ট পাই,Shomoy koshto fai
I suffer.,কষ্ট পাই,Koshto pai,হষ্ট ফাই,Hoshto fai,কষ্ট পাই,Koshto fai
Was there any lack in my love?,আমার ভালোবাসায় কম কি ছিলো?,Amar bhalobashay kom ki chilo?,আর বালোবাসায় হম কি আছিলো?,Ar balobashai hom ki asilo?,আমার ভালোবাসাত কিতার কমতি আছিলো?,Amar balabashat kitar komti asilo?
Was there any lack in my love?,ভালোবাসায় কম কি ছিলো?,Bhalobashay kom ki chilo?,বালোবাসায় হম কি আছিলো?,Balobashai hom ki asilo?,ভালোবাসাত কিতার কমতি আছিলো?,Balabashat kitar komti asilo?
Was there any lack?,কম কি ছিলো?,Kom ki chilo?,হম কি আছিলো?,Hom ki asilo?,কমতি আছিলো?,Komti asilo?
